"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Unique CTR (link click-through rate)","Results rate per link clicks","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,"Total messaging contacts","New messaging contacts",Purchases,Ends,"Attribution setting","Cost per purchase (BRL)","Results (initial)","Results (initial) indicator"
2026-08-01,2026-08-31,"INSTITUCIONAL | ENGAJAMENTO | TOPO | SERVIÇOS | 03.02.26 @",inactive,,,0,,,5.5,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | CONVERSÃO | FUNDO | WHATSAPP FINANCIAMENTO | COMPRAR | 10.02.26 %",inactive,,,0,,,22,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"Nova campanha de Vendas",inactive,,,0,,,25,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | CONVERSÃO | FUNDO | SITE | FACEBOOK | COMPRAR | 25.02.26 %",inactive,,,0,,,23,Daily,0,0,0,,,,Ongoing,"Multiple attribution settings",,,
2026-08-01,2026-08-31,"INSTITUCIONAL | TRÁFEGO | MEIO | BLOG | 12.03.26 @",inactive,,,0,,,22,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"TESTE AB | VENDA DIRETA | CONVERSÃO | FUNDO | WHATSAPP INSTAGRAM | VENDER |  01.04.26 %",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"LEILÃO | CONVERSÃO | FUNDO | PESADO DESMONTE | 07/04/2026 +",inactive,,,0,,,10.9,Daily,0,0,0,,,,Ongoing,"Multiple attribution settings",,,
2026-08-01,2026-08-31,"LEILÃO | RECONHECIMENTO | MEIO | INFORMATIVO GOLPE | FACEBOOK 14/04/2026 +",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | CONVERSÃO | FUNDO | SITE | INSTAGRAM | COMPRAR | 08.05.26 %",inactive,,,0,,,23,Daily,0,0,0,,,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | TRÁFEGO | MEIO | INFORMATIVO | INSTAGRAM | COMPRAR | 08.05.26 %",inactive,,,0,,,7.73,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | TRÁFEGO | MEIO | INFORMATIVO | INSTAGRAM | VENDER | 08.05.26 %",inactive,,,0,,,7.75,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"LEILÃO | ALCANCE | TOPO |  RECONHECIMENTO NORDESTE | 21.05.26 +",inactive,0,reach,0,,,11,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,1-AGX-COPART-NOVACONTA-SUV,inactive,,,0,,,66,Daily,0,0,0,,,,Ongoing,"7-day click",,,
