Relatório de anúncios
1 de agosto de 2026 - 31 de agosto de 2026
Status do anúncio,URL final,URLs de beacon,Título,Título longo,Título longo 1,Título longo 2,Título longo 3,Título longo 4,Título longo 5,Título 1,Posição do título 1,Título 2,Posição do título 2,Título 3,Posição do título 3,Título 4,Posição do título 4,Título 5,Posição do título 5,Título 6,Posição do título 6,Título 7,Posição do título 7,Título 8,Posição do título 8,Título 9,Posição do título 9,Título 10,Posição do título 10,Título 11,Posição do título 11,Título 12,Posição do título 12,Título 13,Posição do título 13,Título 14,Posição do título 14,Título 15,Posição do título 15,Descrição 1,Posição da descrição 1,Descrição 2,Posição da descrição 2,Descrição 3,Posição da descrição 3,Descrição 4,Posição da descrição 4,Descrição 5,ID da imagem,Código da imagem quadrada,Código da imagem em formato de retrato,Código do logotipo,Código do logotipo no formato paisagem,Nome da empresa,ID da imagem da Rede de Display,Vídeo,Texto de call-to-action,Texto de call-to-action 1,Texto de call-to-action 2,Texto de call-to-action 3,Texto de call-to-action 4,Texto de call-to-action 5,Título da call-to-action,ID do vídeo,Banner complementar,Cor de destaque,Cor principal,Permitir cores flexíveis,Preferência de formato de anúncio,Texto da promoção,Prefixo do preço,Ativar melhorias de recursos,Ativar vídeos gerados automaticamente,Nome do anúncio,ad.device_preference,ad.display_url,Caminho 1,Caminho 2,URL final para dispositivos móveis,Modelo de rastreamento,Sufixo do URL final,Parâmetro personalizado,Campanha,Grupo de anúncios,Status,Motivos do status,Tipo de anúncio,Qualidade do anúncio,Melhorias na qualidade do anúncio,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conv. (comparável entre plataformas),Custo / conv. (comparável entre plataformas),Valor da conv. / custo (comparável entre plataformas),Taxa de conv.,Conversões,Custo / conv.
Ativado,https://copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=dm-vmc, --, --, --, --, --, --, --, --,Venda Seu Carro Online Já, --,Anuncie Seu Carro Agora, --,Venda Seu Carro Rapido, --,Copart Brasil, --,Venda Com Segurança Total, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Encontre o Comprador Ideal para Seu Carro Com Segurança e Praticidade, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,"Venda Seu Carro Usado Rápido e Sem Complicação. Simples, Ágil e Seguro", --, --,229721703927, --,229721529624,19956692106, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD7 - URL Site Institucional, --, --, --, --,, --, --,,02.08 -  [CONTÍNUO] | [DG] | CONV | LEADS | KW: VMC  | 23/01/25 - SEM DATA,VMC,Não qualificado,campanha pausada,Anúncio de geração de demanda gráfico,Na média, --;--;--;--,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,http://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=institucional_termos&utm_content=grupo1&utm_term=grupo1, --, --, --, --, --, --, --, --,Copart: Plataforma Automotiva, --,Conheça o Ecossistema Copart, --,Copart: Muito Além do Leilão, --,Encontre o Veiculo Ideal, --,Conheça a Plataforma Copart, --,Soluções Automotivas Copart, --,Mercado Automotivo Digital, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Conheça a Copart, uma plataforma completa de soluções automotivas digitais.", --,A Copart conecta compradores e vendedores em um ecossistema automotivo. Cadastra-se, --,"Leilões online, compra direta e venda direta em um só lugar. Cadastre-se e participe", --,"Encontre veículos no ecossistema Copart. Compra e Venda, tudo em um só lugar", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,INSTITUCIONAL | PESQUISA | LEADS | FUNDO | TERMOS RELACIONADOS | 22.01.26 @,Grupo de anúncios 1,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Ruim,Inclua mais palavras-chave nos seus títulos;Inclua mais palavras-chave nas suas descrições,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/sellForIndividuals/?utm_source=google&utm_medium=cpc&utm_campaign=display-vmc, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,VMC 2 - Programática - 320x100.jpg, --,copart.com.br, --, --,, --, --,,03.01 - [CONTÍNUO] | [DP] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,VMC,Não qualificado,campanha pausada,Anúncio gráfico, --, --,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=dm-vmc, --, --, --, --, --, --, --, --,Venda Seu Carro Online Já, --,Anuncie Seu Carro Agora, --,Venda De Carro Rápido e Seguro, --,Copart Brasil, --,Venda Com Segurança Total, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Encontre o Comprador Ideal para Seu Carro Com Segurança e Praticidade, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,"Venda Seu Carro Usado Rápido e Sem Complicação. Simples, Ágil e Seguro", --, --,202672732415,202672716605; 202723285078,202672734881,19956692106, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD5 - URL Site Institucional, --, --, --, --,, --, --,,02.08 -  [CONTÍNUO] | [DG] | CONV | LEADS | KW: VMC  | 23/01/25 - SEM DATA,VMC,Não qualificado,campanha pausada,Anúncio de geração de demanda gráfico,Boa, --;--;--,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=pesquisa_leilao_especifico, --, --, --, --, --, --, --, --,Copart Brasil, --,Leilão de Veículos Online, --,Participe do Próximo Leilão, --,Carros de Seguradora, --,Lotes de Seguradoras, --,Lotes de Financeiras, --,Centenas de Veículos, --,Grandes Oportunidades, --,Leilões em todo o Brasil, --, +70 leilões todo mês, --,Cadastra-se e Participe, --,Leilões Exclusivos, --,Carros de Financeiras, --,De seu Lance Agora, --,Site Oficial, --,Mais de 70 leilões de veículos todos os meses no Brasil., --,"Na Copart Brasil, você pode dar lances em carros, caminhões e outros", --,Encontre carros de seguradoras e financeiras disponíveis para lance., --,Presente em Mais de 200 locais no mundo e + de 120 mil veículos vendidos por ano no Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: LEILÃO ESPECIFICO | 13/03/26 +,[LEILÔES],Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Na média,Inclua mais palavras-chave nos seus títulos;Inclua mais palavras-chave nas suas descrições,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Venda Carros Online Fácil, --,Venda Seu Carro Online, --,Totalmente Seguro, --,Copart Brasil, --,Seu Carro Vendido sem Esforço, --,Vender Seu carro Ficou Simples, --,Tenha Seu Carro Vendido Rápido, --,{Keyword:Venda Rápida e Segura}, --,Anuncie e Venda Seus Carros, --,Venda De Carro Rápido e Seguro, --,Alcance Milhões de Compradores, --,Cadastra-se Agora, --,Venda Meu Carro, --,Rápido e Seguro, --,Venda Seu Carro com Segurança, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,Venda seu Carro Online sem Complicação. Faça Tudo de Forma Ágil e Sem Burocracia, --,Venda seu Carro Parado e Faça Dinheiro Agora! Processo Seguro e Sem Dor de Cabeça, --,Encontre O Comprador Ideal Para Seu Carro. Anuncie Seu Veículo Novo Ou Usado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,anuncieseucarro, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[CARRO-AMPLA],Pausado,pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/doRegistration/, --, --, --, --, --, --, --, --,Leilões em todo o Brasil, --,Compra e venda em um só lugar, --, +70 leilões todo mês, --,Plataforma líder em leilões, --,Venda seu veículo com suporte, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Compre e venda veículos com segurança e transparência., --,"Na Copart Brasil, você pode dar lances em carros, caminhões e outros", --,"Lotes de bancos, seguradoras e financiamentos.", --,Já pensou em comprar veículo em leilão com segurança?, --,Mais de 70 leilões de veículos todos os meses no Brasil.,345097417613; 345097417601; 345097409795,345189467248; 345189467218; 345097417382; 345097409792,345239675952; 345097409813; 345097409810,19956692106; 142905672882; 142905678690; 250487419729, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD 01, --, --, --, --,, --, --,,LEILÃO | DMG | LEADS | FUNDO | RMKT | 23.02.26 +,INSTITUCIONAL,Não qualificado,campanha pausada,Anúncio de geração de demanda gráfico,Boa, --,BRL,"13,61",2.450,259,"10,57%","0,13","33,34","9,00","3,70","0,27","0,21%","0,54","61,33"
Ativado,https://www.copart.com.br/doRegistration/?utm_source=google&utm_medium=cpc&utm_campaign=pesquisa_leilao_termos&utm_content=grupo2&utm_term=grupo2, --, --, --, --, --, --, --, --,Leilão de Carros Pela Internet, --,Compra Digital de Veículos, --,Acesse Leilões Online, --,Cadastro Rápido e Fácil, --,Participe Sem Sair de Casa, --,Carros em Leilão Agora, --,Site de Leilão de Carros, --,Veja As Oportunidades Aqui, --,Leilão de Motos e Carros, --,Ofertas Imperdíveis de Carros, --,Seu Novo Carro Te Espera Aqui, --,Compre Carro em Leilão Online, --,Leilão De Carro Em {LOCATION(City):Todo Brasil}, --,Participe de Leilões Online, --,Carros em Leilão Hoje, --,Compre Carros Em Leilão Online. Veja Os Preços Imperdíveis E Variedade De Opções!, --,Leilão De Carros Online Com As Melhores Ofertas {LOCATION(City):Todo O Brasil}. Confira Hoje Mesmo!, --,Cadastre-se e tenha confira ofertas de veículos em leilão., --,Participe de leilões de carros online com total praticidade. Cadastre-se e confira, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Grupo 2 — Leilão online,Não qualificado,grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/?cid=ppc:g:brazil:portuguese:highvalue04:brand:reg, --, --, --, --, --, --, --, --,Copart Brasil Leilões Online, --,Leilão Online Copart Brasil, --,Veículos em todo Brasil, --,Copart Leilão Veículos Online, --,Participe de leilões digitais, --,Carros sinistrados, --,Cadastre-se gratuitamente, --,Oportunidade em veículos, --,Compre veículos em todo país, --,Maior portfólio de automóveis, --, --, --, --, --, --, --, --, --, --, --,A Copart é a maior leiloeira de carros do mundo e agora está no Brasil, --,Acesse a plataforma online de leilões e compre seu automóvel, --,"Cadastre-se gratuitamente. Leilões em diversas regiões do país, participe e compre online", --,Mais de 8.000 ofertas mensais. Registre-se e comece a dar lances., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,[AGX] [institucional] [topo] [trafego],Institucional,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Boa,Adicione mais títulos para aumentar suas chances de ter uma performance melhor,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://www.copart.com.br/doRegistration/?utm_source=google&utm_medium=cpc&utm_campaign=institucional-site, --, --, --, --, --, --, --, --,Copart Brasil, --,Copart Leilões Online, --,Leilão De Veículos Copart, --,Compre Carros Online Fácil, --,Encontre Carros Online Já, --,Compre Carros Sem Sair De Casa, --,Seu Carro Em Poucos Cliques, --,Encontre O Seu Carro Perfeito, --,Atendemos Em {LOCATION(City):Todo O Brasil}, --,Seu Novo Carro Está Aqui, --,Vendas de Carros Online, --,Leilão De Carros Com Segurança, --,Carros Usados Em Leilão, --,Ofertas De Carros Em Leilão, --,Venda De Carros Na Internet, --,Compre Carros Online Com Segurança E Facilidade. Encontre O Seu Agora Mesmo!, --,Carros De Qualidade Com Preços Acessíveis. Compre Seu Próximo Carro Online Com A Copart!, --,"Uma Nova Maneira De Comprar Carros. Fácil, Seguro e Online. Atendemos Em {LOCATION(City):Todo O Brasil}", --,Leilão De Carros Online Com As Melhores Ofertas. Carros Novos E Usados. Confira hoje!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,INSTITUCIONAL | PESQUISA | LEADS | MEIO | INSTITUCIONAL | 23.05.24 |,01 - Institucional Copart,Pausado,pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,http://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=institucional_pesquisa&utm_content=institucional&utm_term=institucional_copart, --, --, --, --, --, --, --, --,Copart Brasil, --,Copart Leilões Online, --,Leilão De Veículos Copart, --,Compre Carros Online Fácil, --,Encontre Carros Online Já, --,Compre Carros Sem Sair De Casa, --,Seu Carro Em Poucos Cliques, --,Encontre O Seu Carro Perfeito, --,Atendemos Em {LOCATION(City):Todo O Brasil}, --,Seu Novo Carro Está Aqui, --,Vendas de Carros Online, --,Leilão De Carros Com Segurança, --,Carros Novos E Usados, --,Veículos em Ofertas, --, --, --,Compre Carros Online Com Segurança E Facilidade. Encontre O Seu Agora Mesmo!, --,Carros De Qualidade Com Preços Acessíveis. Compre Seu Próximo Carro Online Com A Copart!, --,"Uma Nova Maneira De Comprar Carros. Fácil, Seguro e Online. Atendemos Em {LOCATION(City):Todo O Brasil}", --,Leilão De Carros Online Com As Melhores Ofertas. Carros Novos E Usados. Confira hoje!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,INSTITUCIONAL | PESQUISA | LEADS | MEIO | INSTITUCIONAL | 23.05.24 |,01 - Institucional Copart,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,"4,56",51.099,24.606,"48,15%","0,01","233,14","0,00",0,"0,00","1,09%","267,61","0,87"
Ativado,https://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=institucional_pesquisa&utm_content=patios&utm_term=patios, --, --, --, --, --, --, --, --,Copart Brasil, --,Compre Veiculos Online Fácil, --,Encontre Veiculos Online Já, --,Compre Veículos De Sua Casa, --,Seu Veiculo Em Poucos Cliques, --,Encontre O Veiculo Perfeito, --,Seu Novo Veiculo Na Copart, --,Vendas de Veiculos Online, --,Atendemos Em {LOCATION(City):Todo O Brasil}, --,Compre Veículos Com Segurança, --,{KeyWord:Copart Brasil}, --, --, --, --, --, --, --, --, --,Compre Carros Online Com Segurança E Facilidade. Encontre O Seu Agora Mesmo!, --,Carros De Qualidade Com Preços Acessíveis. Compre Seu Próximo Carro Online Com A Copart!, --,"Uma Nova Maneira De Comprar Carros. Fácil, Seguro e Online. Atendemos Em {LOCATION(City):Todo O Brasil}", --,"Descubra Uma Nova Maneira De Comprar Novos Carros. Fácil, Seguro e Online. Confira hoje!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,INSTITUCIONAL | PESQUISA | LEADS | MEIO | INSTITUCIONAL | 23.05.24 |,02 - Patios,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Boa,Adicione mais títulos para aumentar suas chances de ter uma performance melhor;Inclua mais palavras-chave nas suas descrições;Adicione mais alguns títulos exclusivos ou libere alguns recursos,BRL,"4,02",299,127,"42,47%","0,01","1,20","0,00",0,"0,00","0,00%","0,00","0,00"
Ativado,http://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=institucional_pesquisa&utm_content=institucional&utm_term=institucional_copart, --, --, --, --, --, --, --, --,Copart Brasil, --,Compre Veiculos Online Fácil, --,Encontre Veiculos Online Já, --,Compre Veículos De Sua Casa, --,Seu Veiculo Em Poucos Cliques, --,Encontre O Veiculo Perfeito, --,Seu Novo Veiculo Na Copart, --,Vendas de Veiculos Online, --,Atendemos Em {LOCATION(City):Todo O Brasil}, --,Compre Veículos Com Segurança, --, --, --, --, --, --, --, --, --, --, --,Compre Carros Online Com Segurança E Facilidade. Encontre O Seu Agora Mesmo!, --,Carros De Qualidade Com Preços Acessíveis. Compre Seu Próximo Carro Online Com A Copart!, --,"Uma Nova Maneira De Comprar Carros. Fácil, Seguro e Online. Atendemos Em {LOCATION(City):Todo O Brasil}", --,"Descubra Uma Nova Maneira De Comprar Novos Carros. Fácil, Seguro e Online. Confira hoje!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,INSTITUCIONAL | PESQUISA | LEADS | MEIO | INSTITUCIONAL | 23.05.24 |,01 - Institucional Copart,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Boa,Adicione mais títulos para aumentar suas chances de ter uma performance melhor;Adicione mais alguns títulos exclusivos ou libere alguns recursos,BRL,"4,53",2.947,1.433,"48,63%","0,01","13,36","0,00",0,"0,00","0,50%","7,12","1,88"
Ativado,https://lp.copart.com.br/contato_copart?utm_source=google&utm_medium=cpc&utm_campaign=03-01-MR1-leilao&utm_term=lp-institucional-leilao, --, --, --, --, --, --, --, --,Compre Carros Em Leilão, --,Carros Baratos No Leilão, --,Leilões De Carros Online, --,Ofertas de Carros Em Leilão, --,Leilão de Veículos Online, --,Carros Usados em Leilão {LOCATION(City):SP}, --,Site de Leilão de Carros, --,Veja As Oportunidades Aqui, --,Leilão de Carros Acessíveis, --,Ofertas Imperdíveis de Carros, --,Seu Novo Carro Te Espera Aqui, --,Compre Carro em Leilão Online, --,Leilão De Carro Em {LOCATION(City):Todo Brasil}, --,Participe do Leilão Agora, --,Carros em Leilão Hoje, --,Compre Carros Em Leilão Online. Veja Os Preços Imperdíveis E Variedade De Opções!, --,Leilão De Carros Online Com As Melhores Ofertas {LOCATION(City):Todo O Brasil}. Confira Hoje Mesmo!, --,Leilão De Carros Online. Economize E Garanta Seu Novo Carro Com Segurança!, --,Seu Próximo Carro Está Aqui. Participe de Nossos Leilões Online E Garanta Ele!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: LEILÃO | 23/05/24 - SEM DATA,01 - Frase,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Copart Brasil, --,Anuncie Seu Carro Agora, --,O Melhor Markeplace de Venda, --,Venda com Segurança Total, --,Anuncie e Venda com Segurança, --,Venda Meu Carro, --,Venda Carro de Forma Rapida, --,Procurando {Keyword:Anunciar seu Carro}?, --,Precisando Vender seu Carro?, --,Venda De Carro Rápido e Seguro, --,Faça Seu Cadastro, --,Vender Nunca foi Tão Fácil, --,Venda Rápida e Segura, --,Venda Carros Online Fácil, --,{Keyword:Anuncie Seu Carro}, --,Conecte-se Com 1 milhão de Compradores e Encontre o Comprador Certo Para Seu Carro, --,Venda Seu Carro Online com Segurança e Rapidez. Cadastre-se Agora Mesmo, --,Venda Meu Carro A Maneira mais Prática de Vender seu Carro., --,"A Maneira Mais Prática de Vender seu Carro Simples, Seguro e Eficiente.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,anuncie,seuveiculo,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[CARRO-AMPLA],Pausado,pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Copart Brasil, --,Anuncie Seu Carro Agora, --,O Melhor Markeplace de Venda, --,Venda com Segurança Total, --,Anuncie e Venda com Segurança, --,Venda Meu Carro, --,Venda Carro de Forma Rapida, --,Procurando {Keyword:Anunciar seu Carro}?, --,Precisando Vender seu Carro?, --,Venda De Carro Rápido e Seguro, --,Faça Seu Cadastro, --,Vender Nunca foi Tão Fácil, --,Venda Rápida e Segura, --,Venda Carros Online Fácil, --,{Keyword:Anuncie Seu Carro}, --,Conecte-se Com 1 milhão de Compradores e Encontre o Comprador Certo Para Seu Carro, --,Venda Seu Carro Online com Segurança e Rapidez. Cadastre-se Agora Mesmo, --,Venda Meu Carro A Maneira mais Prática de Vender seu Carro., --,"A Maneira Mais Prática de Vender seu Carro Simples, Seguro e Eficiente.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,anuncie,seuveiculo,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[CARRO-AMPLA],Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=vmc, --, --, --, --, --, --, --, --,Faça Seu Cadastro, --,{Keyword:Venda Sua Moto}, --,Coloque Sua Moto A Venda, --,Venda Segura de Carros, --,Venda Sua Moto Hoje Mesmo, --,Venda Seu Veículo Usado, --,Anuncie Sua Moto Agora, --,Tenha Sua Moto Vendida Rápida, --,Procurando {Keyword:Anunciar sua Moto}?, --,Procurando Onde Anunciar Moto, --,Venda Sua Moto Com Segurança, --,Cadastre-se, --,Copart Brasil, --,Rápida e Segura, --,"Rápido, Fácil e Sem Burocracia", --,Conecte-se com Milhares de Compradores e Venda sua Moto Rapidamente., --,"Anuncie sua Moto na Copart e Venda Rápida, com Segurança e Sem Complicação", --,Mais de 1 milhão de Compradores Esperando por Você. Cadastre-se Agora Mesmo, --,O Jeito Mais Fácil e Seguro de Vender sua Moto Online., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,[MOTO - FRASE],Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/sellForIndividuals/?utm_source=google&utm_medium=cpc&utm_campaign=display-vmc, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,VMC 1 - Programática - 970x250.jpg, --,copart.com.br, --, --,, --, --,,03.01 - [CONTÍNUO] | [DP] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,VMC,Não qualificado,campanha pausada,Anúncio gráfico, --, --,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=dm-vmc, --, --, --, --, --, --, --, --,Venda Seu Carro ou Moto na Copart, --,Anuncie Seu Carro Agora, --,Seu Veículo Vendido sem Estresse, --,Copart Brasil, --,Venda Com Segurança Total, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Encontre o Comprador Ideal para Seu Carro Com Segurança e Praticidade, --,Quer vender rápido? A Copart cuida de tudo pra você. Cadastre agora, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,A Copart conecta você aos compradores certos. Cadastre seu carro, --,Cadastre seu carro ou moto e venda fácil com a Copart. Sem complicação!,229721814438, --,229625087996,19956692106, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD9, --, --, --, --,, --, --,,02.08 -  [CONTÍNUO] | [DG] | CONV | LEADS | KW: VMC  | 23/01/25 - SEM DATA,VMC,Pausado,pausado; campanha pausada,Anúncio de geração de demanda gráfico,Na média, --;--;--,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,https://lp.copart.com.br/venda-meu-carro?utm_source=google&utm_medium=cpc&utm_campaign=dm-vmc, --, --, --, --, --, --, --, --,Venda Seu Carro Online Já, --,Anuncie Seu Carro Agora, --,Venda De Carro Rápido e Seguro, --,Copart Brasil, --,Venda Com Segurança Total, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Encontre o Comprador Ideal para Seu Carro Com Segurança e Praticidade, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,"Venda Seu Carro Usado Rápido e Sem Complicação. Simples, Ágil e Seguro", --, --,195305995956,195276803135; 196634897819; 195277635857, --,19956692106, --,Copart Brasil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,AD1, --, --, --, --,, --, --,,02.08 -  [CONTÍNUO] | [DG] | CONV | LEADS | KW: VMC  | 23/01/25 - SEM DATA,VMC,Pausado,pausado; campanha pausada,Anúncio de geração de demanda gráfico,Na média, --;--,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
